EmployeeCode,Gender,EmployeeName,OfficialEmail,Username,EmployeeCount,Over18,StandardHours,Company,Industry,Country,Age,AgeGroup,DateOfBirth,MaritalStatus,Education,EducationField,State,City,PhoneNumber,Department,JobRole,BusinessTravel,WorkMode,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,MonthlyIncome,SalarySlab,SalaryHikePercent,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,NumCompaniesWorked,PromotionLast5Years,OverTime,Attrition
HRA240001,Female,Harini Bose,harini.bose@hrhub.co.in,harini.bose,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,29,26-35,1997-07-28,Married,Diploma,Civil,Tamil Nadu,Coimbatore,9801976213,Human Resources,HR Business Partner,Travel_Frequently,Work From Office,5.5,0,0,0,0,2023-07-05,77600,6-10 LPA,12,1,4,2,3,4,1,5,5.5,No,No,Yes
HRA240002,Female,Ritika Shah,ritika.shah@hrhub.co.in,ritika.shah,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,24,18-25,2002-07-27,Single,PhD,Management,Karnataka,Hubballi,9884089437,Sales,Sales Manager,Travel_Rarely,Hybrid,2.6,2,2,0,0,2026-05-28,86000,10+ LPA,20,1,1,1,1,3,1,2,2.6,No,No,No
HRA240003,Female,Aditi Gupta,aditi.gupta@hrhub.co.in,aditi.gupta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,31,26-35,1995-07-29,Single,High School,General Education,Maharashtra,Nagpur,9105635869,Marketing,Marketing Executive,Travel_Frequently,Remote,7.8,1,0,0,1,2021-03-17,74100,6-10 LPA,18,0,4,1,2,3,4,3,6.0,No,Yes,Yes
HRA240004,Female,Sneha Patel,sneha.patel@hrhub.co.in,sneha.patel,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,30,26-35,1996-07-28,Single,Diploma,Mechanical,Uttar Pradesh,Noida,9988495912,IT,Software Engineer,Non-Travel,Work From Office,2.2,0,0,0,0,2026-10-21,56450,6-10 LPA,20,0,3,4,3,4,1,1,0.0,No,No,No
HRA240005,Male,Harsh Jain,harsh.jain@hrhub.co.in,harsh.jain,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,50,46-55,1976-08-02,Married,Master,Human Resources,Karnataka,Mysuru,9450862953,Sales,Sales Executive,Travel_Frequently,Hybrid,0.7,0,0,0,0,2028-04-21,25950,3-6 LPA,10,3,2,2,3,3,4,2,0.7,No,Yes,No
HRA240006,Female,Ritika Gupta,ritika.gupta@hrhub.co.in,ritika.gupta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,54,46-55,1972-08-03,Single,High School,General Education,Gujarat,Surat,9427885988,Administration,Facility Coordinator,Travel_Rarely,Work From Office,12.6,6,4,1,1,2016-05-30,104300,10+ LPA,24,3,4,4,4,2,2,1,6.0,No,Yes,No
HRA240007,Female,Ishita Joshi,ishita.joshi@hrhub.co.in,ishita.joshi,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,25,18-25,2001-07-27,Married,MBA,Human Resources,Gujarat,Vadodara,9780228017,IT,Software Engineer,Travel_Frequently,Work From Office,0.5,0,0,0,0,2028-07-03,41600,3-6 LPA,23,2,3,2,3,2,3,0,0.5,No,Yes,Yes
HRA240008,Male,Arjun Jain,arjun.jain@hrhub.co.in,arjun.jain,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,25,18-25,2001-07-27,Married,Master,Marketing,Uttar Pradesh,Kanpur,9066747720,Operations,Operations Executive,Travel_Rarely,Hybrid,1.2,0,0,0,0,2027-10-21,38450,3-6 LPA,10,3,1,1,4,4,4,6,1.2,No,No,No
HRA240009,Female,Deepika Das,deepika.das@hrhub.co.in,deepika.das,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,38,36-45,1988-07-30,Single,Diploma,Electrical,West Bengal,Howrah,9257772774,Human Resources,HR Business Partner,Travel_Frequently,Work From Office,16.9,16,16,5,5,2012-02-12,127500,10+ LPA,14,2,3,1,2,4,2,4,3.0,No,No,No
HRA240010,Female,Shreya Verma,shreya.verma@hrhub.co.in,shreya.verma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,50,46-55,1976-08-02,Married,Diploma,Mechanical,Tamil Nadu,Coimbatore,9598358947,Sales,Sales Manager,Travel_Rarely,Work From Office,20.3,7,2,2,3,2008-09-19,187800,10+ LPA,6,1,4,3,3,4,1,6,6.0,No,No,No
HRA240011,Female,Pooja Sharma,pooja.sharma@hrhub.co.in,pooja.sharma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,46,46-55,1980-08-01,Married,MBA,Finance,Rajasthan,Jodhpur,9863613959,Operations,Operations Manager,Travel_Frequently,Work From Office,19.6,4,0,0,4,2009-06-01,183250,10+ LPA,12,2,4,1,1,3,4,1,7.0,No,No,No
HRA240012,Male,Raj Sinha,raj.sinha@hrhub.co.in,raj.sinha,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,55,46-55,1971-08-04,Single,Bachelor,Commerce,Kerala,Kozhikode,9779178220,Administration,Facility Coordinator,Travel_Frequently,Work From Office,26.8,3,2,0,3,2002-03-22,163750,10+ LPA,18,0,3,3,1,3,4,2,9.0,No,Yes,No
HRA240013,Male,Sahil Shah,sahil.shah@hrhub.co.in,sahil.shah,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,43,36-45,1983-08-01,Married,PhD,Finance,Maharashtra,Nagpur,9800458724,Finance,Finance Executive,Travel_Rarely,Hybrid,19.8,9,9,3,6,2009-03-20,153650,10+ LPA,9,2,4,2,1,3,1,3,1.0,No,Yes,No
HRA240014,Male,Shubham Gupta,shubham.gupta@hrhub.co.in,shubham.gupta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,34,26-35,1992-07-29,Single,Diploma,Civil,Delhi,New Delhi,9757777342,IT,System Administrator,Travel_Rarely,Work From Office,0.6,0,0,0,0,2028-05-27,34350,3-6 LPA,13,0,3,4,1,2,1,6,0.6,Yes,No,No
HRA240015,Male,Rahul Verma,rahul.verma@hrhub.co.in,rahul.verma,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,34,26-35,1992-07-29,Divorced,Master,Marketing,Kerala,Thiruvananthapuram,9472171243,Human Resources,HR Business Partner,Travel_Rarely,Hybrid,3.2,0,0,0,0,2025-10-21,41050,3-6 LPA,23,2,3,3,3,4,4,3,3.0,No,Yes,No
HRA240016,Male,Vikas Banerjee,vikas.banerjee@hrhub.co.in,vikas.banerjee,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,60,55+,1966-08-05,Married,MBA,Marketing,Kerala,Thiruvananthapuram,9764612614,Marketing,Content Strategist,Travel_Frequently,Work From Office,25.6,21,7,1,18,2003-06-03,150300,10+ LPA,19,2,3,3,3,2,1,4,5.0,Yes,No,No
HRA240017,Female,Harini Agarwal,harini.agarwal@hrhub.co.in,harini.agarwal,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Married,Diploma,Computer,West Bengal,Durgapur,9105164078,IT,Software Engineer,Non-Travel,Hybrid,0.0,0,0,0,0,2029-01-01,42050,3-6 LPA,25,1,3,3,2,4,2,6,0.0,No,No,No
HRA240018,Female,Riya Shah,riya.shah@hrhub.co.in,riya.shah,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,21,18-25,2005-07-26,Single,Bachelor,Marketing,Kerala,Kozhikode,9071299699,Administration,Administrative Executive,Travel_Rarely,Work From Office,0.0,0,0,0,0,2029-01-01,27400,3-6 LPA,12,1,3,1,2,2,4,4,0.0,No,No,No
HRA240019,Male,Akash Jain,akash.jain@hrhub.co.in,akash.jain,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,45,36-45,1981-08-01,Married,MBA,Human Resources,Karnataka,Mysuru,9771291842,Operations,Supply Chain Coordinator,Travel_Frequently,Work From Office,14.2,12,6,6,1,2014-10-24,116550,10+ LPA,16,2,3,2,2,2,3,2,2.0,No,No,No
HRA240020,Male,Nikhil Gupta,nikhil.gupta@hrhub.co.in,nikhil.gupta,1,Y,80,HRHub Solutions Pvt. Ltd.,Information Technology & Business Services,India,18,18-25,2008-07-25,Married,Diploma,Electrical,Rajasthan,Jodhpur,9293352878,Marketing,Digital Marketing Specialist,Travel_Rarely,Hybrid,0.0,0,0,0,0,2029-01-01,32050,3-6 LPA,14,3,3,3,3,3,1,3,0.0,Yes,No,Yes
